t,μ,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,B Density,X4 Density,B FirstIonization,X2 FirstIonization,X3 FirstIonization,B AtomicMass,B MeltingPoint,Ef (eV)
0.794544716,0.398496241,4,4,41,3.582,3.582,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,5.720876571
0.8933876,0.398496241,12,12,41,1.228,1.228,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,3.279886908
1.030246977,0.398496241,20,20,41,0.757,0.757,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,3.204452244
1.083470068,0.398496241,48,48,41,0.363,0.363,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,2.136704102
1.140494808,0.398496241,78,78,41,0.242,0.242,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,0.564953546
0.731610482,0.518796992,4,4,69,3.582,3.582,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,5.044693571
0.822624226,0.518796992,12,12,69,1.228,1.228,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,3.015020908
0.948643256,0.518796992,20,20,69,0.757,0.757,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,2.945976244
0.997650657,0.518796992,48,48,69,0.363,0.363,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,1.872110102
1.050158586,0.518796992,78,78,69,0.242,0.242,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,0.299544546
0.586449672,0.894736842,4,4,125,3.582,3.582,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,5.221960713
0.659405133,0.894736842,12,12,125,1.228,1.228,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,3.08060605
0.760420388,0.894736842,20,20,125,0.757,0.757,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,2.977984386
0.799704098,0.894736842,48,48,125,0.363,0.363,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,1.888517244
0.841793787,0.894736842,78,78,125,0.242,0.242,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,0.295935688
0.77660873,0.29281768,4,4,41,3.582,3.582,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,0.46473329
0.85517615,0.29281768,12,12,41,1.228,1.228,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-1.119775381
0.963961809,0.29281768,20,20,41,0.757,0.757,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-0.027742997
1.006267342,0.29281768,48,48,41,0.363,0.363,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-2.518181049
1.0515947,0.29281768,78,78,41,0.242,0.242,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-3.522924297
0.726905771,0.38121547,4,4,69,3.582,3.582,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,0.9768735
0.800444876,0.38121547,12,12,69,1.228,1.228,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,-0.54040517
0.902268253,0.38121547,20,20,69,0.757,0.757,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,0.540661214
0.941866233,0.38121547,48,48,69,0.363,0.363,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,-1.962469838
0.984292639,0.38121547,78,78,69,0.242,0.242,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,-2.976772086
0.605754809,0.657458564,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-2.259763
0.667037397,0.657458564,12,12,125,1.228,1.228,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-1.25856467
0.751890211,0.657458564,20,20,125,0.757,0.757,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-0.431042286
0.784888527,0.657458564,48,48,125,0.363,0.363,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-2.668323338
0.820243866,0.657458564,78,78,125,0.242,0.242,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-3.692442586
0.772421865,0.270408163,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,1.129271652
0.846256308,0.270408163,12,12,41,1.228,1.228,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,-4.54594823
0.948488614,0.270408163,20,20,41,0.757,0.757,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,-3.469031154
0.988245622,0.270408163,48,48,41,0.363,0.363,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,-3.465533028
1.030842416,0.270408163,78,78,41,0.242,0.242,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,-3.803974914
0.725785074,0.352040816,4,4,69,3.582,3.582,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,2.687332194
0.795161588,0.352040816,12,12,69,1.228,1.228,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,-2.978978688
0.891221377,0.352040816,20,20,69,0.757,0.757,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,-1.882046612
0.928577962,0.352040816,48,48,69,0.363,0.363,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,-1.911757486
0.968602874,0.352040816,78,78,69,0.242,0.242,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,-2.281402372
0.610581094,0.607142857,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,1.773916
0.668945463,0.607142857,12,12,125,1.228,1.228,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-3.888478882
0.749757666,0.607142857,20,20,125,0.757,0.757,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-2.792085806
0.781184634,0.607142857,48,48,125,0.363,0.363,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-2.81219668
0.814856386,0.607142857,78,78,125,0.242,0.242,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-3.186600566
0.76667988,0.240909091,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,0.551679971
0.834023383,0.240909091,12,12,41,1.228,1.228,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,-2.274048723
0.927268233,0.240909091,20,20,41,0.757,0.757,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,-0.961723977
0.963530119,0.240909091,48,48,41,0.363,0.363,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,-1.201308147
1.00238214,0.240909091,78,78,41,0.242,0.242,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,-0.928094735
0.724233935,0.313636364,4,4,69,3.582,3.582,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,0.597660667
0.787849078,0.313636364,12,12,69,1.228,1.228,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,-2.225967027
0.875931584,0.313636364,20,20,69,0.757,0.757,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,-0.924060281
0.910185891,0.313636364,48,48,69,0.363,0.363,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,-1.224097451
0.946886935,0.313636364,78,78,69,0.242,0.242,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,-0.976984039
0.617414771,0.540909091,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,0.992991
0.671647149,0.540909091,12,12,125,1.228,1.228,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,-1.831061694
0.746738135,0.540909091,20,20,125,0.757,0.757,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,-0.699924948
0.775940185,0.540909091,48,48,125,0.363,0.363,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,-0.863548118
0.807228095,0.540909091,78,78,125,0.242,0.242,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,-0.632081706
0.843966158,0.398496241,4,12,41,3.582,1.228,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,4.210787704
0.909568979,0.29281768,12,20,41,1.228,0.757,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-0.572812853
0.943280446,0.38121547,20,78,69,0.757,0.242,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,-1.363966793
0.808503225,0.352040816,4,20,69,3.582,0.757,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,0.400141291
0.76547115,0.607142857,20,48,125,0.757,0.363,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-2.81856684
0.79158414,0.540909091,48,78,125,0.363,0.242,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,-0.755894853
0.789245448,0.365517241,4,4,41,3.582,3.582,0.32,5.32,0.00321,7.8994,17.4228,17.4228,72.64,1211.45,4.5611965
0.882097853,0.365517241,12,12,41,1.228,1.228,0.32,5.32,0.00321,7.8994,17.4228,17.4228,72.64,1211.45,-2.312083835
0.726613175,0.373477673,4,4,69,3.582,3.582,0.228,7.29,3.12,7.3439,12.9676,12.9676,118.71,505.21,1.984229
0.799065496,0.373477673,12,12,69,1.228,1.228,0.228,7.29,3.12,7.3439,12.9676,12.9676,118.71,505.21,-1.629336441
0.612385312,0.589108911,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,11.8138,11.8138,207.2,600.75,0.772465
0.669658759,0.589108911,12,12,125,1.228,1.228,0.129,11.3,4.93,7.4167,11.8138,11.8138,207.2,600.75,-3.512650847
0.993316669,0.337579618,20,20,41,0.757,0.757,0.32,5.32,0.00321,7.8994,17.4228,12.9676,72.64,1211.45,0.279485357
1.054088547,0.356302521,48,48,41,0.363,0.363,0.32,5.32,3.12,7.8994,17.4228,17.4228,72.64,1211.45,-1.03808334
0.889671301,0.348045397,20,20,69,0.757,0.757,0.228,7.29,0.00321,7.3439,11.8138,10.4513,118.71,505.21,-0.185913949
0.810192963,0.565992866,78,78,125,0.242,0.242,0.129,11.3,0.00321,7.4167,10.4513,10.4513,207.2,600.75,-1.690069293
0.751667408,0.652054795,20,20,125,0.757,0.757,0.129,11.3,4.93,7.4167,12.9676,11.8138,207.2,600.75,-0.513714474
0.957274523,0.331730769,78,78,69,0.242,0.242,0.228,7.29,4.93,7.3439,11.8138,10.4513,118.71,505.21,-0.882505659
0.792347051,0.768982229,48,48,125,0.363,0.363,0.129,11.3,4.93,7.4167,17.4228,17.4228,207.2,600.75,0.150269583
0.924879927,0.344139651,48,48,69,0.363,0.363,0.228,7.29,4.93,7.3439,12.9676,10.4513,118.71,505.21,-0.824708559
0.939007392,0.398496241,4,48,41,3.582,0.363,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,3.772374801
0.967519762,0.398496241,4,78,41,3.582,0.242,0.32,5.32,0.0017,7.8994,17.4228,17.4228,72.64,1211.45,2.865345523
0.891438036,0.29281768,4,48,41,3.582,0.363,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-1.09000138
0.914101715,0.29281768,4,78,41,3.582,0.242,0.32,5.32,0.00321,7.8994,12.9676,12.9676,72.64,1211.45,-1.579614504
0.880333744,0.270408163,4,48,41,3.582,0.363,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,-1.135393188
0.901632141,0.270408163,4,78,41,3.582,0.242,0.32,5.32,3.12,7.8994,11.8138,11.8138,72.64,1211.45,-1.456756631
0.865105,0.240909091,4,48,41,3.582,0.363,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,-0.373744088
0.88453101,0.240909091,4,78,41,3.582,0.242,0.32,5.32,4.93,7.8994,10.4513,10.4513,72.64,1211.45,-0.231996882
0.864630569,0.518796992,4,48,69,3.582,0.363,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,-0.102759199
0.890884534,0.518796992,4,78,69,3.582,0.242,0.228,7.29,0.0017,7.3439,17.4228,17.4228,118.71,505.21,-2.097412477
0.834386002,0.38121547,4,48,69,3.582,0.363,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,-0.512687169
0.855599205,0.38121547,4,78,69,3.582,0.242,0.228,7.29,0.00321,7.3439,12.9676,12.9676,118.71,505.21,-1.071718293
0.827181518,0.352040816,4,48,69,3.582,0.363,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,-0.412366646
0.847193974,0.352040816,4,78,69,3.582,0.242,0.228,7.29,3.12,7.3439,11.8138,11.8138,118.71,505.21,0.065203911
0.817209913,0.313636364,4,48,69,3.582,0.363,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,-0.352300392
0.835560435,0.313636364,4,78,69,3.582,0.242,0.228,7.29,4.93,7.3439,10.4513,10.4513,118.71,505.21,-0.248007186
0.693076885,0.894736842,4,48,125,3.582,0.363,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,-0.325159057
0.714121729,0.894736842,4,78,125,3.582,0.242,0.129,11.3,0.0017,7.4167,17.4228,17.4228,207.2,600.75,2.756737665
0.695321668,0.657458564,4,48,125,3.582,0.363,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-1.240395669
0.712999338,0.657458564,4,78,125,3.582,0.242,0.129,11.3,0.00321,7.4167,12.9676,12.9676,207.2,600.75,-1.800573793
0.695882864,0.607142857,4,48,125,3.582,0.363,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-0.60588684
0.71271874,0.607142857,4,78,125,3.582,0.242,0.129,11.3,3.12,7.4167,11.8138,11.8138,207.2,600.75,-0.827772283
0.696677478,0.540909091,4,48,125,3.582,0.363,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,0.021645941
0.712321433,0.540909091,4,78,125,3.582,0.242,0.129,11.3,4.93,7.4167,10.4513,10.4513,207.2,600.75,0.127758147
0.783193125,0.32970451,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,17.4228,12.9676,72.64,1211.45,5.286514
0.781115682,0.317841079,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,17.4228,12.9676,72.64,1211.45,4.257396
0.779873922,0.31085044,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,17.4228,11.8138,72.64,1211.45,5.3318365
0.779148668,0.306801737,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,12.9676,17.4228,72.64,1211.45,1.986467789
0.777283506,0.296503497,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,12.9676,17.4228,72.64,1211.45,0.887433789
0.772817714,0.272493573,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,12.9676,11.8138,72.64,1211.45,1.51965229
0.777971513,0.300283286,4,4,41,3.582,3.582,0.32,5.32,0.00321,7.8994,11.8138,17.4228,72.64,1211.45,-0.302199348
0.775083609,0.284563758,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,11.8138,17.4228,72.64,1211.45,-0.585551848
0.771836954,0.267339218,4,4,41,3.582,3.582,0.32,5.32,4.93,7.8994,11.8138,12.9676,72.64,1211.45,-0.907493848
0.774450284,0.281167109,4,4,41,3.582,3.582,0.32,5.32,0.00321,7.8994,10.4513,17.4228,72.64,1211.45,1.078771971
0.773420567,0.275682705,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,10.4513,17.4228,72.64,1211.45,2.199408471
0.770327213,0.259485924,4,4,41,3.582,3.582,0.32,5.32,3.12,7.8994,10.4513,12.9676,72.64,1211.45,1.499295471
0.72865084,0.429237947,4,4,69,3.582,3.582,0.228,7.29,3.12,7.3439,17.4228,12.9676,118.71,505.21,4.680407
0.728102529,0.413793103,4,4,69,3.582,3.582,0.228,7.29,4.93,7.3439,17.4228,12.9676,118.71,505.21,3.663088
0.727773785,0.404692082,4,4,69,3.582,3.582,0.228,7.29,4.93,7.3439,17.4228,11.8138,118.71,505.21,4.7118735
0.727581435,0.399421129,4,4,69,3.582,3.582,0.228,7.29,3.12,7.3439,12.9676,17.4228,118.71,505.21,2.552618
0.72708558,0.386013986,4,4,69,3.582,3.582,0.228,7.29,4.93,7.3439,12.9676,17.4228,118.71,505.21,1.494667
0.725891402,0.354755784,4,4,69,3.582,3.582,0.228,7.29,4.93,7.3439,12.9676,11.8138,118.71,505.21,2.0040265
0.727268685,0.390934844,4,4,69,3.582,3.582,0.228,7.29,0.00321,7.3439,11.8138,17.4228,118.71,505.21,1.405508194
0.726498544,0.370469799,4,4,69,3.582,3.582,0.228,7.29,4.93,7.3439,11.8138,17.4228,118.71,505.21,1.206154694
0.725627819,0.348045397,4,4,69,3.582,3.582,0.228,7.29,4.93,7.3439,11.8138,12.9676,118.71,505.21,0.661937694
0.726329101,0.366047745,4,4,69,3.582,3.582,0.228,7.29,0.00321,7.3439,10.4513,17.4228,118.71,505.21,1.357723667
0.726053183,0.358907672,4,4,69,3.582,3.582,0.228,7.29,3.12,7.3439,10.4513,17.4228,118.71,505.21,2.266756167
0.725221136,0.337821297,4,4,69,3.582,3.582,0.228,7.29,3.12,7.3439,10.4513,12.9676,118.71,505.21,1.572438167
0.598418339,0.740279938,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,17.4228,12.9676,207.2,600.75,4.368975142
0.600700511,0.713643178,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,17.4228,12.9676,207.2,600.75,3.351807142
0.602078831,0.697947214,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,17.4228,11.8138,207.2,600.75,4.373009642
0.602888815,0.688856729,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,12.9676,17.4228,207.2,600.75,1.9920555
0.604988925,0.665734266,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,12.9676,17.4228,207.2,600.75,0.9382345
0.610119248,0.611825193,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,12.9676,11.8138,207.2,600.75,1.252009
0.604211378,0.674220963,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,11.8138,17.4228,207.2,600.75,0.562297
0.607497964,0.638926174,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,11.8138,17.4228,207.2,600.75,0.5039105
0.611265673,0.600252207,4,4,125,3.582,3.582,0.129,11.3,4.93,7.4167,11.8138,12.9676,207.2,600.75,-0.2410365
0.608226809,0.631299735,4,4,125,3.582,3.582,0.129,11.3,0.00321,7.4167,10.4513,17.4228,207.2,600.75,1.798968
0.609418134,0.618985696,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,10.4513,17.4228,207.2,600.75,2.7695085
0.613044626,0.582619339,4,4,125,3.582,3.582,0.129,11.3,3.12,7.4167,10.4513,12.9676,207.2,600.75,1.9918545
0.620037663,1.015037594,12,12,81,1.228,1.228,0.204,3.59,0.0017,5.2117,17.4228,17.4228,137.327,1002.15,-0.105337
0.802754075,0.556390977,12,12,35,1.228,1.228,0.388,7.13,0.0017,9.3942,17.4228,17.4228,65.38,692.88,-2.604792
0.716250403,0.744360902,12,12,20,1.228,1.228,0.647,1.54,0.0017,6.1132,17.4228,17.4228,40.078,1112.15,3.40217
0.722478668,0.729323308,12,12,64,1.228,1.228,0.232,8.69,0.0017,8.9938,17.4228,17.4228,112.411,594.33,2.103814
0.800819728,0.560150376,12,12,32,1.228,1.228,0.421,8.86,0.0017,7.881,17.4228,17.4228,58.933,1768.15,1.280853
0.830850468,0.503759398,12,12,28,1.228,1.228,0.449,7.15,0.0017,6.7665,17.4228,17.4228,51.996,2130.15,-3.761008
0.80665094,0.54887218,12,12,35,1.228,1.228,0.385,8.96,0.0017,7.7264,17.4228,17.4228,63.546,1357.75,3.416709544
0.839242897,0.488721805,12,12,30,1.228,1.228,0.449,7.87,0.0017,7.9024,17.4228,17.4228,55.845,1808.15,-0.14138
0.810585822,0.541353383,12,12,12,1.228,1.228,1.023,1.74,0.0017,7.6462,17.4228,17.4228,24.305,923.15,3.031533
0.856546874,0.458646617,12,12,30,1.228,1.228,0.479,7.44,0.0017,7.434,17.4228,17.4228,54.938,1519.15,-2.106858296
0.822624226,0.518796992,12,12,31,1.228,1.228,0.444,8.91,0.0017,7.6398,17.4228,17.4228,58.693,1726.15,3.801886524
